DateTime        	Ping	Up	Down	Provider

2016-06-09-20:03	20.5	7.25	89.22	speedtest.net
2016-06-09-20:04	12.0	6.01	88.92	speedtest.net

2018-05-24-18:43	8.0	5.71	94.62	speedtest.xfinity.com

2018-10-07-14:30	11.0	6.03	94.41	speedtest.xfinity.com

2020-01-26-14:20	85.28	2.50	43.64	Frontier (7.24 km)
2020-01-26-14:20	68.84	2.41	48.24	Ridge Wireless (9.97 km)
2020-01-26-14:21	68.41	2.54	59.24	KamaTera INC (14.83 km)
2020-01-26-14:21	81.72	2.38	63.81	Next Level Networks (14.83 km)
2020-01-26-14:22	82.71	2.46	65.04	Razzolink Inc (21.15 km)
2020-01-26-14:22	76.71	2.47	63.05	Tekify Fiber & Wireless (22.08 km)
2020-01-26-14:23	65.45	2.34	65.03	CodecCloudLimited (22.08 km)

2020-01-26-15:34	138.15	2.49	44.33	Frontier (7.24 km)
2020-01-26-15:34	60.27	2.58	65.76	Ridge Wireless (9.97 km)
2020-01-26-15:35	78.82	1.70	31.28	KamaTera INC (14.83 km)
2020-01-26-15:35	69.23	2.36	45.85	Next Level Networks (14.83 km)
2020-01-26-15:35	64.18	2.32	48.55	Razzolink Inc (21.15 km)
2020-01-26-15:36	67.18	2.39	28.53	Tekify Fiber & Wireless (22.08 km)
2020-01-26-15:36	69.43	2.40	58.48	Vpassion (22.08 km)
2020-01-26-15:37	69.81	5.42	68.69	Converse in Code Networks (22.08 km)
2020-01-26-15:37	63.58	2.35	66.91	Sonic.net, Inc. (23.41 km)
2020-01-26-15:38	62.28	2.46	59.47	Sprint (23.41 km)
2020-01-26-15:38	62.20	2.49	53.37	Janus Networks (23.41 km)
2020-01-26-15:39	72.91	2.50	67.68	Cruzio (46.05 km)
2020-01-26-15:39	71.90	2.42	57.60	AT&T (51.29 km)
2020-01-26-15:40	101.26	2.37	41.50	Unwired (51.29 km)
2020-01-26-15:40	80.13	2.56	60.93	Wiline Networks (51.29 km)
2020-01-26-15:41	64.63	2.31	53.43	Comcast (51.29 km)
2020-01-26-15:41	66.49	2.42	38.54	Fastmetrics Inc. (51.29 km)


2020-01-26-16:42	118.96	2.45	17.78	Frontier (7.24 km)
2020-01-26-16:43	61.43	2.36	66.93	Ridge Wireless (9.97 km)
2020-01-26-16:43	66.29	2.42	65.95	KamaTera INC (14.83 km)
2020-01-26-16:44	80.90	2.36	49.54	Next Level Networks (14.83 km)
2020-01-26-16:44	66.53	2.41	50.90	Razzolink Inc (21.15 km)
2020-01-26-16:45	63.29	2.34	46.22	Tekify Fiber & Wireless (22.08 km)
2020-01-26-16:45	70.05	2.34	51.09	CodecCloudLimited (22.08 km)
2020-01-26-16:46	109.86	2.36	48.02	Vpassion (22.08 km)
2020-01-26-16:46	70.87	5.35	48.18	Converse in Code Networks (22.08 km)
2020-01-26-16:47	67.88	2.38	61.05	Sonic.net, Inc. (23.41 km)
2020-01-26-16:47	78.92	2.33	49.89	Sprint (23.41 km)
2020-01-26-16:48	73.83	2.53	56.58	Janus Networks (23.41 km)
2020-01-26-16:48	70.47	2.29	50.00	Cruzio (46.05 km)
2020-01-26-16:49	84.17	2.43	60.98	AT&T (51.29 km)
2020-01-26-16:50	118.52	2.24	29.98	Unwired (51.29 km)
2020-01-26-16:50	66.5	2.36	37.26	Wiline Networks (51.29 km)
2020-01-26-16:51	71.70	2.40	65.88	Comcast (51.29 km)
2020-01-26-16:51	69.39	2.37	63.20	Fastmetrics Inc. (51.29 km)
2020-01-26-16:52	70.93	2.54	64.07	Wave (51.29 km)


2020-01-26-17:02	116.20	2.51	41.16	Frontier (7.24 km)
2020-01-26-17:03	66.91	2.61	63.54	Ridge Wireless (9.97 km)
2020-01-26-17:03	62.05	2.42	65.58	KamaTera INC (14.83 km)
2020-01-26-17:04	80.36	2.29	54.43	Next Level Networks (14.83 km)
2020-01-26-17:04	66.37	2.33	39.80	Razzolink Inc (21.15 km)
2020-01-26-17:05	73.77	2.59	64.64	Tekify Fiber & Wireless (22.08 km)
2020-01-26-17:05	85.51	2.58	62.95	CodecCloudLimited (22.08 km)
2020-01-26-17:06	70.08	2.39	57.52	Vpassion (22.08 km)
2020-01-26-17:06	64.89	5.30	47.53	Converse in Code Networks (22.08 km)
2020-01-26-17:07	72.66	2.11	56.32	Sonic.net, Inc. (23.41 km)
2020-01-26-17:07	63.27	2.37	49.50	Sprint (23.41 km)
2020-01-26-17:08	73.58	2.38	46.70	Janus Networks (23.41 km)
2020-01-26-17:08	67.46	2.37	70.54	Cruzio (46.05 km)
2020-01-26-17:09	72.62	2.07	57.95	AT&T (51.29 km)
2020-01-26-17:10	120.75	2.35	48.70	Unwired (51.29 km)
2020-01-26-17:10	70.40	2.30	46.49	Wiline Networks (51.29 km)
2020-01-26-17:11	66.28	2.24	62.25	Comcast (51.29 km)
2020-01-26-17:11	70.02	2.37	38.95	Fastmetrics Inc. (51.29 km)
2020-01-26-17:12	88.58	2.37	49.25	Wave (51.29 km)


2020-01-26-20:17	102.82	2.36	50.47	Frontier (7.24 km)
2020-01-26-20:18	60.04	2.47	54.57	Ridge Wireless (9.97 km)
2020-01-26-20:18	53.10	2.43	67.34	KamaTera INC (14.83 km)
2020-01-26-20:19	61.65	2.39	54.20	Next Level Networks (14.83 km)
2020-01-26-20:19	57.05	2.51	63.70	Razzolink Inc (21.15 km)
2020-01-26-20:20	56.47	2.42	61.06	Tekify Fiber & Wireless (22.08 km)
2020-01-26-20:20	58.72	2.47	50.26	CodecCloudLimited (22.08 km)
2020-01-26-20:21	61.61	2.45	68.15	Vpassion (22.08 km)
2020-01-26-20:21	62.24	5.65	60.70	Converse in Code Networks (22.08 km)
2020-01-26-20:22	51.41	2.45	57.16	Sonic.net, Inc. (23.41 km)
2020-01-26-20:22	57.64	2.48	60.50	Sprint (23.41 km)
2020-01-26-20:22	55.09	2.49	51.87	Janus Networks (23.41 km)
2020-01-26-20:23	65.96	2.37	56.09	Cruzio (46.05 km)
2020-01-26-20:24	64.63	2.45	58.95	AT&T (51.29 km)
2020-01-26-20:24	73.17	2.37	51.71	Unwired (51.29 km)
2020-01-26-20:25	61.15	2.60	61.02	Wiline Networks (51.29 km)
2020-01-26-20:25	51.67	2.45	66.81	Comcast (51.29 km)
2020-01-26-20:26	57.73	2.43	62.79	Fastmetrics Inc. (51.29 km)
2020-01-26-20:26	61.91	2.60	65.02	Wave (51.29 km)
